k_val,precision,accuracy,recall
0,4.98E-01,7.07E-01,3.11E-01
1,4.78E-01,7.18E-01,2.97E-01
2,4.66E-01,7.11E-01,2.98E-01
3,4.43E-01,7.05E-01,2.86E-01
4,5.22E-01,7.18E-01,2.69E-01
5,5.01E-01,7.22E-01,2.81E-01
6,4.70E-01,7.17E-01,2.86E-01
7,4.48E-01,7.15E-01,3.08E-01
8,5.29E-01,7.10E-01,2.21E-01
9,3.63E-01,6.52E-01,3.64E-01
