k_val,precision,accuracy,recall
0,6.69E-01,8.02E-01,3.21E-01
1,7.58E-01,7.98E-01,2.94E-01
2,6.67E-01,7.98E-01,2.78E-01
3,6.45E-01,8.06E-01,3.22E-01
4,6.69E-01,8.01E-01,3.27E-01
5,5.98E-01,7.92E-01,3.65E-01
6,5.58E-01,8.06E-01,3.83E-01
7,6.57E-01,8.05E-01,3.26E-01
8,6.74E-01,8.05E-01,3.09E-01
9,7.18E-01,8.00E-01,2.90E-01
