k_val,precision, accuracy, recall
0,7.92E-01,8.05E-01,3.17E-01
1,8.34E-01,8.04E-01,3.07E-01
2,7.00E-01,8.07E-01,3.17E-01
3,7.18E-01,8.07E-01,3.06E-01
4,8.22E-01,8.08E-01,3.21E-01
5,7.97E-01,8.12E-01,3.43E-01
6,7.53E-01,8.10E-01,3.36E-01
7,7.85E-01,8.09E-01,3.37E-01
8,8.24E-01,8.07E-01,3.04E-01
9,7.66E-01,8.11E-01,3.36E-01
